unit_id,total_beds,occupied_beds,available_beds,last_updated,floor
ICU-A,20,17,3,2025-01-01 16:00:00,3
ICU-B,18,18,0,2025-01-01 16:00:00,3
CCU,12,7,5,2025-01-01 16:00:00,2
HDU,24,24,0,2025-01-01 16:00:00,4
ICU-A,20,15,5,2025-01-01 17:00:00,3
ICU-B,18,14,4,2025-01-01 17:00:00,3
CCU,12,8,4,2025-01-01 17:00:00,2
HDU,24,18,6,2025-01-01 17:00:00,4
ICU-A,20,16,4,2025-01-01 18:00:00,3
ICU-B,18,13,5,2025-01-01 18:00:00,3
CCU,12,11,1,2025-01-01 18:00:00,2
HDU,24,23,1,2025-01-01 18:00:00,4
ICU-A,20,15,5,2025-01-01 19:00:00,3
ICU-B,18,15,3,2025-01-01 19:00:00,3
CCU,12,10,2,2025-01-01 19:00:00,2
HDU,24,18,6,2025-01-01 19:00:00,4
ICU-A,20,19,1,2025-01-01 20:00:00,3
ICU-B,18,12,6,2025-01-01 20:00:00,3
CCU,12,7,5,2025-01-01 20:00:00,2
HDU,24,20,4,2025-01-01 20:00:00,4
ICU-A,20,14,6,2025-01-01 21:00:00,3
ICU-B,18,13,5,2025-01-01 21:00:00,3
CCU,12,7,5,2025-01-01 21:00:00,2
HDU,24,21,3,2025-01-01 21:00:00,4
ICU-A,20,17,3,2025-01-01 22:00:00,3
ICU-B,18,17,1,2025-01-01 22:00:00,3
CCU,12,6,6,2025-01-01 22:00:00,2
HDU,24,19,5,2025-01-01 22:00:00,4
ICU-A,20,16,4,2025-01-01 23:00:00,3
ICU-B,18,13,5,2025-01-01 23:00:00,3
CCU,12,8,4,2025-01-01 23:00:00,2
HDU,24,18,6,2025-01-01 23:00:00,4
ICU-A,20,15,5,2025-01-02 00:00:00,3
ICU-B,18,15,3,2025-01-02 00:00:00,3
CCU,12,8,4,2025-01-02 00:00:00,2
HDU,24,19,5,2025-01-02 00:00:00,4
ICU-A,20,19,1,2025-01-02 01:00:00,3
ICU-B,18,16,2,2025-01-02 01:00:00,3
CCU,12,12,0,2025-01-02 01:00:00,2
HDU,24,22,2,2025-01-02 01:00:00,4
ICU-A,20,18,2,2025-01-02 02:00:00,3
ICU-B,18,13,5,2025-01-02 02:00:00,3
CCU,12,10,2,2025-01-02 02:00:00,2
HDU,24,19,5,2025-01-02 02:00:00,4
ICU-A,20,19,1,2025-01-02 03:00:00,3
ICU-B,18,12,6,2025-01-02 03:00:00,3
CCU,12,12,0,2025-01-02 03:00:00,2
HDU,24,22,2,2025-01-02 03:00:00,4
ICU-A,20,17,3,2025-01-02 04:00:00,3
ICU-B,18,18,0,2025-01-02 04:00:00,3
CCU,12,11,1,2025-01-02 04:00:00,2
HDU,24,24,0,2025-01-02 04:00:00,4
ICU-A,20,20,0,2025-01-02 05:00:00,3
ICU-B,18,14,4,2025-01-02 05:00:00,3
CCU,12,12,0,2025-01-02 05:00:00,2
HDU,24,18,6,2025-01-02 05:00:00,4
ICU-A,20,17,3,2025-01-02 06:00:00,3
ICU-B,18,17,1,2025-01-02 06:00:00,3
CCU,12,6,6,2025-01-02 06:00:00,2
HDU,24,20,4,2025-01-02 06:00:00,4
ICU-A,20,16,4,2025-01-02 07:00:00,3
ICU-B,18,18,0,2025-01-02 07:00:00,3
CCU,12,9,3,2025-01-02 07:00:00,2
HDU,24,19,5,2025-01-02 07:00:00,4
ICU-A,20,14,6,2025-01-02 08:00:00,3
ICU-B,18,14,4,2025-01-02 08:00:00,3
CCU,12,10,2,2025-01-02 08:00:00,2
HDU,24,22,2,2025-01-02 08:00:00,4
ICU-A,20,16,4,2025-01-02 09:00:00,3
ICU-B,18,13,5,2025-01-02 09:00:00,3
CCU,12,12,0,2025-01-02 09:00:00,2
HDU,24,19,5,2025-01-02 09:00:00,4
ICU-A,20,18,2,2025-01-02 10:00:00,3
ICU-B,18,17,1,2025-01-02 10:00:00,3
CCU,12,12,0,2025-01-02 10:00:00,2
HDU,24,24,0,2025-01-02 10:00:00,4
ICU-A,20,14,6,2025-01-02 11:00:00,3
ICU-B,18,16,2,2025-01-02 11:00:00,3
CCU,12,10,2,2025-01-02 11:00:00,2
HDU,24,20,4,2025-01-02 11:00:00,4
ICU-A,20,20,0,2025-01-02 12:00:00,3
ICU-B,18,14,4,2025-01-02 12:00:00,3
CCU,12,12,0,2025-01-02 12:00:00,2
HDU,24,21,3,2025-01-02 12:00:00,4
ICU-A,20,19,1,2025-01-02 13:00:00,3
ICU-B,18,18,0,2025-01-02 13:00:00,3
CCU,12,12,0,2025-01-02 13:00:00,2
HDU,24,24,0,2025-01-02 13:00:00,4
ICU-A,20,15,5,2025-01-02 14:00:00,3
ICU-B,18,17,1,2025-01-02 14:00:00,3
CCU,12,12,0,2025-01-02 14:00:00,2
HDU,24,23,1,2025-01-02 14:00:00,4
ICU-A,20,18,2,2025-01-02 15:00:00,3
ICU-B,18,15,3,2025-01-02 15:00:00,3
CCU,12,11,1,2025-01-02 15:00:00,2
HDU,24,22,2,2025-01-02 15:00:00,4
ICU-A,20,20,0,2025-01-02 16:00:00,3
ICU-B,18,14,4,2025-01-02 16:00:00,3
CCU,12,6,6,2025-01-02 16:00:00,2
HDU,24,23,1,2025-01-02 16:00:00,4
ICU-A,20,19,1,2025-01-02 17:00:00,3
ICU-B,18,15,3,2025-01-02 17:00:00,3
CCU,12,7,5,2025-01-02 17:00:00,2
HDU,24,20,4,2025-01-02 17:00:00,4
ICU-A,20,18,2,2025-01-02 18:00:00,3
ICU-B,18,13,5,2025-01-02 18:00:00,3
CCU,12,9,3,2025-01-02 18:00:00,2
HDU,24,19,5,2025-01-02 18:00:00,4
ICU-A,20,17,3,2025-01-02 19:00:00,3
ICU-B,18,16,2,2025-01-02 19:00:00,3
CCU,12,7,5,2025-01-02 19:00:00,2
HDU,24,18,6,2025-01-02 19:00:00,4
ICU-A,20,19,1,2025-01-02 20:00:00,3
ICU-B,18,15,3,2025-01-02 20:00:00,3
CCU,12,12,0,2025-01-02 20:00:00,2
HDU,24,23,1,2025-01-02 20:00:00,4
ICU-A,20,16,4,2025-01-02 21:00:00,3
ICU-B,18,16,2,2025-01-02 21:00:00,3
CCU,12,12,0,2025-01-02 21:00:00,2
HDU,24,18,6,2025-01-02 21:00:00,4
ICU-A,20,15,5,2025-01-02 22:00:00,3
ICU-B,18,18,0,2025-01-02 22:00:00,3
CCU,12,6,6,2025-01-02 22:00:00,2
HDU,24,24,0,2025-01-02 22:00:00,4
ICU-A,20,16,4,2025-01-02 23:00:00,3
ICU-B,18,18,0,2025-01-02 23:00:00,3
CCU,12,6,6,2025-01-02 23:00:00,2
HDU,24,18,6,2025-01-02 23:00:00,4
ICU-A,20,19,1,2025-01-03 00:00:00,3
ICU-B,18,18,0,2025-01-03 00:00:00,3
CCU,12,6,6,2025-01-03 00:00:00,2
HDU,24,19,5,2025-01-03 00:00:00,4
ICU-A,20,19,1,2025-01-03 01:00:00,3
ICU-B,18,16,2,2025-01-03 01:00:00,3
CCU,12,6,6,2025-01-03 01:00:00,2
HDU,24,20,4,2025-01-03 01:00:00,4
ICU-A,20,18,2,2025-01-03 02:00:00,3
ICU-B,18,14,4,2025-01-03 02:00:00,3
CCU,12,6,6,2025-01-03 02:00:00,2
HDU,24,18,6,2025-01-03 02:00:00,4
ICU-A,20,14,6,2025-01-03 03:00:00,3
ICU-B,18,12,6,2025-01-03 03:00:00,3
CCU,12,11,1,2025-01-03 03:00:00,2
HDU,24,19,5,2025-01-03 03:00:00,4
ICU-A,20,15,5,2025-01-03 04:00:00,3
ICU-B,18,16,2,2025-01-03 04:00:00,3
CCU,12,7,5,2025-01-03 04:00:00,2
HDU,24,22,2,2025-01-03 04:00:00,4
ICU-A,20,15,5,2025-01-03 05:00:00,3
ICU-B,18,18,0,2025-01-03 05:00:00,3
CCU,12,8,4,2025-01-03 05:00:00,2
HDU,24,20,4,2025-01-03 05:00:00,4
ICU-A,20,20,0,2025-01-03 06:00:00,3
ICU-B,18,17,1,2025-01-03 06:00:00,3
CCU,12,12,0,2025-01-03 06:00:00,2
HDU,24,21,3,2025-01-03 06:00:00,4
ICU-A,20,19,1,2025-01-03 07:00:00,3
ICU-B,18,17,1,2025-01-03 07:00:00,3
CCU,12,6,6,2025-01-03 07:00:00,2
HDU,24,23,1,2025-01-03 07:00:00,4
ICU-A,20,14,6,2025-01-03 08:00:00,3
ICU-B,18,18,0,2025-01-03 08:00:00,3
CCU,12,7,5,2025-01-03 08:00:00,2
HDU,24,24,0,2025-01-03 08:00:00,4
ICU-A,20,17,3,2025-01-03 09:00:00,3
ICU-B,18,12,6,2025-01-03 09:00:00,3
CCU,12,10,2,2025-01-03 09:00:00,2
HDU,24,23,1,2025-01-03 09:00:00,4
ICU-A,20,15,5,2025-01-03 10:00:00,3
ICU-B,18,12,6,2025-01-03 10:00:00,3
CCU,12,8,4,2025-01-03 10:00:00,2
HDU,24,18,6,2025-01-03 10:00:00,4
ICU-A,20,16,4,2025-01-03 11:00:00,3
ICU-B,18,13,5,2025-01-03 11:00:00,3
CCU,12,12,0,2025-01-03 11:00:00,2
HDU,24,22,2,2025-01-03 11:00:00,4
ICU-A,20,14,6,2025-01-03 12:00:00,3
ICU-B,18,17,1,2025-01-03 12:00:00,3
CCU,12,8,4,2025-01-03 12:00:00,2
HDU,24,22,2,2025-01-03 12:00:00,4
ICU-A,20,15,5,2025-01-03 13:00:00,3
ICU-B,18,12,6,2025-01-03 13:00:00,3
CCU,12,8,4,2025-01-03 13:00:00,2
HDU,24,21,3,2025-01-03 13:00:00,4
ICU-A,20,18,2,2025-01-03 14:00:00,3
ICU-B,18,18,0,2025-01-03 14:00:00,3
CCU,12,7,5,2025-01-03 14:00:00,2
HDU,24,24,0,2025-01-03 14:00:00,4
ICU-A,20,16,4,2025-01-03 15:00:00,3
ICU-B,18,15,3,2025-01-03 15:00:00,3
CCU,12,10,2,2025-01-03 15:00:00,2
HDU,24,22,2,2025-01-03 15:00:00,4
ICU-A,20,18,2,2025-01-03 16:00:00,3
ICU-B,18,16,2,2025-01-03 16:00:00,3
CCU,12,6,6,2025-01-03 16:00:00,2
HDU,24,23,1,2025-01-03 16:00:00,4
ICU-A,20,20,0,2025-01-03 17:00:00,3
ICU-B,18,12,6,2025-01-03 17:00:00,3
CCU,12,12,0,2025-01-03 17:00:00,2
HDU,24,22,2,2025-01-03 17:00:00,4
ICU-A,20,20,0,2025-01-03 18:00:00,3
ICU-B,18,17,1,2025-01-03 18:00:00,3
CCU,12,12,0,2025-01-03 18:00:00,2
HDU,24,24,0,2025-01-03 18:00:00,4
ICU-A,20,16,4,2025-01-03 19:00:00,3
ICU-B,18,17,1,2025-01-03 19:00:00,3
CCU,12,7,5,2025-01-03 19:00:00,2
HDU,24,23,1,2025-01-03 19:00:00,4
ICU-A,20,14,6,2025-01-03 20:00:00,3
ICU-B,18,17,1,2025-01-03 20:00:00,3
CCU,12,7,5,2025-01-03 20:00:00,2
HDU,24,22,2,2025-01-03 20:00:00,4
ICU-A,20,16,4,2025-01-03 21:00:00,3
ICU-B,18,13,5,2025-01-03 21:00:00,3
CCU,12,8,4,2025-01-03 21:00:00,2
HDU,24,22,2,2025-01-03 21:00:00,4
ICU-A,20,18,2,2025-01-03 22:00:00,3
ICU-B,18,15,3,2025-01-03 22:00:00,3
CCU,12,10,2,2025-01-03 22:00:00,2
HDU,24,22,2,2025-01-03 22:00:00,4
ICU-A,20,16,4,2025-01-03 23:00:00,3
ICU-B,18,16,2,2025-01-03 23:00:00,3
CCU,12,11,1,2025-01-03 23:00:00,2
HDU,24,22,2,2025-01-03 23:00:00,4
