customer_id,revenue,cumulative_revenue,cumulative_percent
CUST0276,400840.31,41699833.03,41.48
CUST0154,397820.53,42097653.56,41.88
CUST0360,390061.91,42487715.47,42.27
CUST0272,384383.15,42872098.62,42.65
CUST0209,381778.66,43253877.28,43.03
CUST0061,374395.26,43628272.54,43.4
CUST0116,373090.35,44001362.89,43.77
CUST0201,369411.41,44370774.3,44.14
CUST0159,368926.65,44739700.95,44.51
CUST0078,366668.15,45106369.1,44.87
CUST0417,365245.04,45471614.14,45.24
CUST0181,364897.54,45836511.68,45.6
CUST0386,364723.18,46201234.86,45.96
CUST0194,364699.14,46565934.0,46.33
CUST0210,353016.83,46918950.83,46.68
CUST0383,352276.35,47271227.18,47.03
CUST0031,350194.43,47621421.61,47.38
CUST0265,348763.1,47970184.71,47.72
CUST0304,347482.27,48317666.98,48.07
CUST0424,341474.26,48659141.24,48.41
CUST0059,340307.5,48999448.74,48.75
CUST0321,339966.82,49339415.56,49.08
CUST0102,339623.51,49679039.07,49.42
CUST0005,339079.58,50018118.65,49.76
CUST0261,336687.93,50354806.58,50.1
CUST0050,334797.99,50689604.57,50.43
CUST0453,333575.9,51023180.47,50.76
CUST0057,333142.88,51356323.35,51.09
CUST0297,332855.24,51689178.59,51.42
CUST0344,332802.46,52021981.05,51.75
CUST0009,332472.2,52354453.25,52.08
CUST0056,325796.4,52680249.65,52.41
CUST0268,325675.84,53005925.49,52.73
CUST0032,322689.76,53328615.25,53.05
CUST0475,321847.64,53650462.89,53.37
CUST0451,320895.35,53971358.24,53.69
CUST0310,320028.56,54291386.8,54.01
CUST0144,319706.15,54611092.95,54.33
CUST0090,318997.86,54930090.81,54.65
CUST0064,317168.68,55247259.49,54.96
CUST0187,315154.3,55562413.79,55.28
CUST0382,314828.6,55877242.39,55.59
CUST0293,313822.84,56191065.23,55.9
CUST0319,310154.62,56501219.85,56.21
CUST0461,309791.27,56811011.12,56.52
CUST0278,309645.85,57120656.97,56.83
CUST0370,308873.68,57429530.65,57.13
CUST0060,308248.95,57737779.6,57.44
CUST0080,307817.95,58045597.55,57.75
CUST0391,306564.72,58352162.27,58.05
CUST0399,306139.49,58658301.76,58.36
CUST0434,304525.27,58962827.03,58.66
CUST0197,304044.47,59266871.5,58.96
CUST0033,303990.82,59570862.32,59.26
CUST0220,303684.79,59874547.11,59.57
CUST0396,300538.36,60175085.47,59.86
CUST0022,297197.03,60472282.5,60.16
CUST0215,296662.56,60768945.06,60.46
CUST0224,294640.57,61063585.63,60.75
CUST0300,293025.7,61356611.33,61.04
CUST0377,292255.08,61648866.41,61.33
CUST0155,290948.5,61939814.91,61.62
CUST0313,290262.08,62230076.99,61.91
CUST0374,283994.16,62514071.15,62.19
CUST0008,282979.63,62797050.78,62.47
CUST0208,282649.11,63079699.89,62.75
CUST0117,282348.5,63362048.39,63.04
CUST0199,282273.67,63644322.06,63.32
CUST0328,281690.07,63926012.13,63.6
CUST0070,273527.24,64199539.37,63.87
CUST0454,272083.08,64471622.45,64.14
CUST0179,270450.12,64742072.57,64.41
CUST0063,269983.11,65012055.68,64.68
CUST0079,268164.35,65280220.03,64.94
CUST0418,267793.77,65548013.8,65.21
CUST0405,265422.63,65813436.43,65.47
CUST0034,262940.85,66076377.28,65.74
CUST0133,261065.93,66337443.21,66.0
CUST0497,260479.22,66597922.43,66.25
CUST0106,260422.85,66858345.28,66.51
CUST0027,259366.82,67117712.1,66.77
CUST0025,258253.35,67375965.45,67.03
CUST0037,257464.43,67633429.88,67.28
CUST0196,255140.5,67888570.38,67.54
CUST0480,254915.66,68143486.04,67.79
CUST0177,253860.99,68397347.03,68.04
CUST0157,251350.58,68648697.61,68.29
CUST0262,251168.08,68899865.69,68.54
CUST0327,251055.16,69150920.85,68.79
CUST0174,250495.97,69401416.82,69.04
CUST0392,250178.25,69651595.07,69.29
CUST0422,250167.65,69901762.72,69.54
CUST0314,246917.24,70148679.96,69.79
CUST0252,246893.26,70395573.22,70.03
CUST0217,245169.67,70640742.89,70.28
CUST0312,244416.82,70885159.71,70.52
CUST0387,244252.2,71129411.91,70.76
CUST0247,244190.72,71373602.63,71.01
CUST0206,240674.46,71614277.09,71.24
CUST0355,240372.38,71854649.47,71.48
CUST0427,236724.33,72091373.8,71.72
CUST0438,236476.57,72327850.37,71.95
CUST0049,234890.76,72562741.13,72.19
CUST0260,231980.25,72794721.38,72.42
CUST0216,231652.92,73026374.3,72.65
CUST0045,229465.32,73255839.62,72.88
CUST0058,229258.44,73485098.06,73.11
CUST0142,228873.87,73713971.93,73.33
CUST0062,227562.51,73941534.44,73.56
CUST0490,226059.21,74167593.65,73.79
CUST0127,225338.09,74392931.74,74.01
CUST0444,223659.35,74616591.09,74.23
CUST0039,223002.78,74839593.87,74.45
CUST0279,220143.24,75059737.11,74.67
CUST0317,220051.0,75279788.11,74.89
CUST0450,219743.46,75499531.57,75.11
CUST0474,218022.83,75717554.4,75.33
CUST0249,215659.13,75933213.53,75.54
CUST0395,213908.21,76147121.74,75.75
CUST0222,213665.84,76360787.58,75.97
CUST0269,213272.51,76574060.09,76.18
CUST0479,212172.7,76786232.79,76.39
CUST0326,211523.79,76997756.58,76.6
CUST0136,209361.98,77207118.56,76.81
CUST0294,207916.43,77415034.99,77.02
CUST0367,207239.42,77622274.41,77.22
CUST0156,207071.61,77829346.02,77.43
CUST0288,205990.26,78035336.28,77.63
CUST0200,204816.83,78240153.11,77.84
CUST0149,203460.73,78443613.84,78.04
CUST0021,203259.1,78646872.94,78.24
CUST0103,201994.09,78848867.03,78.44
CUST0489,201584.11,79050451.14,78.64
CUST0296,200669.89,79251121.03,78.84
CUST0498,198650.16,79449771.19,79.04
CUST0030,198481.99,79648253.18,79.24
CUST0205,197149.02,79845402.2,79.43
CUST0331,197145.33,80042547.53,79.63
CUST0351,196035.98,80238583.51,79.82
CUST0426,195712.97,80434296.48,80.02
CUST0088,195337.27,80629633.75,80.21
CUST0040,195067.17,80824700.92,80.41
CUST0356,191416.0,81016116.92,80.6
CUST0460,191254.13,81207371.05,80.79
CUST0473,190939.32,81398310.37,80.98
CUST0241,190936.73,81589247.1,81.17
CUST0372,190635.83,81779882.93,81.36
CUST0414,190623.65,81970506.58,81.55
CUST0359,190436.32,82160942.9,81.74
CUST0165,190275.18,82351218.08,81.93
CUST0303,189427.24,82540645.32,82.11
CUST0350,188531.74,82729177.06,82.3
CUST0036,188420.45,82917597.51,82.49
CUST0003,185803.71,83103401.22,82.67
CUST0379,185533.3,83288934.52,82.86
CUST0443,185360.01,83474294.53,83.04
CUST0339,184851.44,83659145.97,83.23
CUST0204,183409.93,83842555.9,83.41
CUST0492,182335.07,84024890.97,83.59
CUST0282,179499.75,84204390.72,83.77
CUST0467,179158.84,84383549.56,83.95
CUST0023,177350.66,84560900.22,84.12
CUST0029,176268.07,84737168.29,84.3
CUST0340,175493.57,84912661.86,84.47
CUST0456,174734.66,85087396.52,84.65
CUST0110,174391.8,85261788.32,84.82
CUST0352,174041.74,85435830.06,85.0
CUST0311,173544.67,85609374.73,85.17
CUST0457,171167.15,85780541.88,85.34
CUST0274,170949.25,85951491.13,85.51
CUST0394,169025.26,86120516.39,85.68
CUST0259,168858.28,86289374.67,85.84
CUST0493,168181.63,86457556.3,86.01
CUST0337,167828.76,86625385.06,86.18
CUST0421,167532.06,86792917.12,86.35
CUST0245,166304.06,86959221.18,86.51
CUST0330,165168.48,87124389.66,86.68
CUST0415,162868.99,87287258.65,86.84
CUST0447,161000.68,87448259.33,87.0
CUST0083,159659.81,87607919.14,87.16
CUST0128,158762.27,87766681.41,87.31
CUST0256,158743.16,87925424.57,87.47
CUST0232,157608.23,88083032.8,87.63
CUST0153,155802.12,88238834.92,87.78
CUST0257,154398.67,88393233.59,87.94
CUST0019,153462.7,88546696.29,88.09
CUST0301,153158.76,88699855.05,88.24
CUST0071,152395.44,88852250.49,88.39
CUST0001,151935.38,89004185.87,88.55
CUST0482,150025.01,89154210.88,88.69
CUST0089,149838.73,89304049.61,88.84
CUST0452,149801.85,89453851.46,88.99
CUST0250,149726.17,89603577.63,89.14
CUST0073,149030.0,89752607.63,89.29
CUST0251,147098.56,89899706.19,89.44
CUST0365,146954.18,90046660.37,89.58
CUST0017,145721.36,90192381.73,89.73
CUST0077,145007.45,90337389.18,89.87
CUST0315,144686.93,90482076.11,90.02
CUST0148,144231.15,90626307.26,90.16
CUST0186,144166.0,90770473.26,90.3
CUST0227,142959.48,90913432.74,90.44
CUST0160,142735.24,91056167.98,90.59
CUST0343,142263.23,91198431.21,90.73
CUST0342,142033.07,91340464.28,90.87
CUST0192,140503.66,91480967.94,91.01
CUST0334,138193.95,91619161.89,91.15
CUST0445,136869.88,91756031.77,91.28
CUST0255,136579.79,91892611.56,91.42
CUST0235,135258.42,92027869.98,91.55
CUST0223,134203.42,92162073.4,91.69
CUST0028,133260.16,92295333.56,91.82
CUST0397,130856.81,92426190.37,91.95
CUST0494,128764.41,92554954.78,92.08
CUST0233,127281.29,92682236.07,92.2
CUST0074,127136.57,92809372.64,92.33
CUST0433,123943.74,92933316.38,92.45
CUST0346,122231.32,93055547.7,92.58
CUST0137,121361.72,93176909.42,92.7
CUST0371,121021.62,93297931.04,92.82
CUST0094,118402.04,93416333.08,92.93
CUST0002,117980.86,93534313.94,93.05
CUST0020,117464.53,93651778.47,93.17
CUST0108,117238.8,93769017.27,93.29
CUST0316,117165.8,93886183.07,93.4
CUST0180,117006.7,94003189.77,93.52
CUST0468,114865.41,94118055.18,93.63
CUST0271,114657.87,94232713.05,93.75
CUST0409,113150.39,94345863.44,93.86
CUST0109,111854.79,94457718.23,93.97
CUST0051,110332.47,94568050.7,94.08
CUST0411,110257.73,94678308.43,94.19
CUST0440,109548.57,94787857.0,94.3
CUST0167,109189.63,94897046.63,94.41
CUST0309,108126.71,95005173.34,94.52
CUST0150,107051.65,95112224.99,94.62
CUST0140,103575.67,95215800.66,94.72
CUST0431,102528.81,95318329.47,94.83
CUST0082,101367.36,95419696.83,94.93
CUST0333,99186.66,95518883.49,95.03
CUST0338,99053.74,95617937.23,95.12
CUST0273,95452.71,95713389.94,95.22
CUST0139,95340.05,95808729.99,95.31
CUST0384,94594.73,95903324.72,95.41
CUST0075,94370.23,95997694.95,95.5
CUST0390,93246.15,96090941.1,95.6
CUST0500,93136.02,96184077.12,95.69
CUST0053,92405.47,96276482.59,95.78
CUST0298,91270.6,96367753.19,95.87
CUST0072,91116.9,96458870.09,95.96
CUST0221,90968.05,96549838.14,96.05
CUST0423,89781.09,96639619.23,96.14
CUST0380,89683.7,96729302.93,96.23
CUST0368,88985.72,96818288.65,96.32
CUST0320,88577.13,96906865.78,96.41
CUST0441,87671.73,96994537.51,96.49
CUST0191,86049.48,97080586.99,96.58
CUST0198,85022.37,97165609.36,96.66
CUST0229,84521.77,97250131.13,96.75
CUST0488,84360.62,97334491.75,96.83
CUST0323,84185.54,97418677.29,96.92
CUST0190,83921.61,97502598.9,97.0
CUST0381,83290.51,97585889.41,97.08
CUST0231,82662.21,97668551.62,97.16
CUST0349,81745.43,97750297.05,97.25
CUST0178,81648.16,97831945.21,97.33
CUST0243,81087.59,97913032.8,97.41
CUST0455,80118.85,97993151.65,97.49
CUST0111,77399.3,98070550.95,97.56
CUST0182,77359.19,98147910.14,97.64
CUST0439,76754.18,98224664.32,97.72
CUST0437,75878.92,98300543.24,97.79
CUST0244,73334.37,98373877.61,97.87
CUST0044,73046.18,98446923.79,97.94
CUST0299,69077.7,98516001.49,98.01
CUST0047,67930.26,98583931.75,98.08
CUST0458,67902.56,98651834.31,98.14
CUST0146,67007.83,98718842.14,98.21
CUST0248,63186.06,98782028.2,98.27
CUST0135,62937.0,98844965.2,98.34
CUST0069,61613.66,98906578.86,98.4
CUST0404,59776.26,98966355.12,98.46
CUST0184,59533.64,99025888.76,98.52
CUST0281,56841.25,99082730.01,98.57
CUST0362,53597.27,99136327.28,98.63
CUST0038,53565.99,99189893.27,98.68
CUST0226,53018.82,99242912.09,98.73
CUST0280,53017.68,99295929.77,98.78
CUST0403,50573.47,99346503.24,98.83
CUST0068,50471.91,99396975.15,98.88
CUST0076,49912.08,99446887.23,98.93
CUST0275,48130.31,99495017.54,98.98
CUST0013,44645.68,99539663.22,99.03
CUST0459,43912.86,99583576.08,99.07
CUST0393,40667.94,99624244.02,99.11
CUST0402,40615.11,99664859.13,99.15
CUST0234,39615.56,99704474.69,99.19
CUST0115,37755.84,99742230.53,99.23
CUST0055,37428.21,99779658.74,99.27
CUST0105,37068.03,99816726.77,99.3
CUST0291,33886.06,99850612.83,99.34
CUST0175,33367.13,99883979.96,99.37
CUST0138,32760.23,99916740.19,99.4
CUST0016,32606.21,99949346.4,99.43
CUST0462,31435.33,99980781.73,99.47
CUST0132,29508.36,100010290.09,99.49
CUST0442,29506.33,100039796.42,99.52
CUST0285,28877.78,100068674.2,99.55
CUST0066,27491.58,100096165.78,99.58
CUST0203,25218.18,100121383.96,99.61
CUST0207,24614.27,100145998.23,99.63
CUST0134,23816.66,100169814.89,99.65
CUST0336,22828.32,100192643.21,99.68
CUST0348,21838.24,100214481.45,99.7
CUST0466,20818.03,100235299.48,99.72
CUST0087,20604.86,100255904.34,99.74
CUST0213,20050.85,100275955.19,99.76
CUST0425,19739.94,100295695.13,99.78
CUST0085,19645.24,100315340.37,99.8
CUST0054,19517.41,100334857.78,99.82
CUST0471,18416.65,100353274.43,99.84
CUST0302,17840.21,100371114.64,99.85
CUST0098,17415.06,100388529.7,99.87
CUST0366,15808.94,100404338.64,99.89
CUST0389,13162.26,100417500.9,99.9
CUST0189,12659.47,100430160.37,99.91
CUST0095,11545.44,100441705.81,99.92
CUST0295,11405.15,100453110.96,99.94
CUST0130,10705.2,100463816.16,99.95
CUST0035,10293.31,100474109.47,99.96
CUST0158,10133.66,100484243.13,99.97
CUST0305,9771.81,100494014.94,99.98
CUST0357,9430.23,100503445.17,99.99
CUST0436,8744.35,100512189.52,99.99
CUST0188,7114.38,100519303.9,100.0
CUST0236,4998.1,100524302.0,100.01
CUST0212,4276.42,100528578.42,100.01
CUST0398,2356.74,100530935.16,100.01
CUST0091,70.96,100531006.12,100.01
CUST0081,0.0,100531006.12,100.01
CUST0052,-744.2,100530261.92,100.01
CUST0218,-2711.35,100527550.57,100.01
CUST0145,-9134.91,100518415.66,100.0
