cohort_month,order_month,active_customers
2026-04,2026-02,1
2026-04,2026-03,2
2026-04,2026-04,2
2026-04,2026-05,2
2026-04,2026-06,2
2026-05,,0
2026-05,2025-07,2
2026-05,2025-09,2
2026-05,2025-10,2
2026-05,2025-12,3
2026-05,2026-01,1
2026-05,2026-02,1
2026-05,2026-03,1
2026-05,2026-04,1
2026-05,2026-05,3
2026-05,2026-06,1
2026-06,,0
2026-06,2025-07,4
2026-06,2025-08,7
2026-06,2025-09,1
2026-06,2025-10,1
2026-06,2025-11,1
2026-06,2025-12,3
2026-06,2026-01,2
2026-06,2026-03,3
2026-06,2026-05,4
2026-06,2026-06,1
