category,product_name,total_revenue,rank_in_category
Clothing,Speaker Ipsam,365049.87,19
Clothing,Watch Minus,363862.5,20
Clothing,Speaker Et,350656.23,21
Clothing,Chair Qui,348619.9,22
Clothing,Bottle Commodi,339794.67,23
Clothing,Chair Repellat,323814.26,24
Clothing,Monitor Voluptas,292232.18,25
Clothing,Mixer Sed,290183.17,26
Clothing,Table Alias,288808.45,27
Clothing,Chair Corporis,279208.74,28
Clothing,Bag Voluptate,274906.27,29
Clothing,Table Debitis,273561.6,30
Clothing,Printer Recusandae,270928.57,31
Clothing,Mouse Recusandae,266555.45,32
Clothing,Book Rerum,265573.09,33
Clothing,Table Dolores,259541.47,34
Clothing,Phone Aut,257074.2,35
Clothing,Laptop Quis,256450.72,36
Clothing,Monitor Ut,251920.27,37
Clothing,Speaker Ex,241211.33,38
Clothing,Bottle Voluptatibus,239652.5,39
Clothing,Keyboard Quaerat,234481.18,40
Clothing,Watch Qui,233851.45,41
Clothing,Book Sed,232847.32,42
Clothing,Camera Pariatur,231016.17,43
Clothing,Table At,226386.66,44
Clothing,Laptop Nulla,222743.61,45
Clothing,Mouse Molestiae,218039.05,46
Clothing,Shirt Expedita,212204.6,47
Clothing,Shirt Delectus,211829.95,48
Clothing,Camera Mollitia,207608.92,49
Clothing,Watch Unde,207494.95,50
Clothing,Bottle Ut,207175.89,51
Clothing,Bag Praesentium,206802.66,52
Clothing,Headphones Temporibus,206647.23,53
Clothing,Phone Cumque,205160.32,54
Clothing,Phone Expedita,197773.68,55
Clothing,Shoes Id,196212.44,56
Clothing,Phone Molestiae,195774.28,57
Clothing,Bag Odio,195441.82,58
Clothing,Fan Reiciendis,194707.83,59
Clothing,Headphones Voluptatum,185143.71,60
Clothing,Monitor Minima,178288.72,61
Clothing,Shirt Vel,177382.09,62
Clothing,Bottle Dignissimos,177267.02,63
Clothing,Headphones Dicta,174425.15,64
Clothing,Mouse Deleniti,173834.42,65
Clothing,Bag Cupiditate,173636.43,66
Clothing,Notebook Nostrum,171751.32,67
Clothing,Mixer Corrupti,168396.33,68
Clothing,Chair Excepturi,162019.37,69
Clothing,Chair Nisi,160113.57,70
Clothing,Bottle Nihil,159756.35,71
Clothing,Bottle Nostrum,159607.02,72
Clothing,Book Pariatur,156132.04,73
Clothing,Mixer Ratione,154766.12,74
Clothing,Bottle Magnam,150933.9,75
Clothing,Watch Quis,150182.88,76
Clothing,Shoes Repellat,144319.22,77
Clothing,Phone Commodi,143188.27,78
Clothing,Notebook Officia,139058.45,79
Clothing,Watch Tempore,138539.57,80
Clothing,Table Reprehenderit,138007.38,81
Clothing,Phone Soluta,136935.88,82
Clothing,Mouse Neque,134564.81,83
Clothing,Laptop Nobis,131936.98,84
Clothing,Monitor Aut,130354.24,85
Clothing,Laptop Illum,130018.59,86
Clothing,Printer Temporibus,125845.04,87
Clothing,Watch Aut,125669.18,88
Clothing,Shoes Ea,124172.28,89
Clothing,Phone Facilis,123605.71,90
Clothing,Bottle Reiciendis,122325.8,91
Clothing,Phone Accusamus,120477.5,92
Clothing,Bottle Ratione,119099.75,93
Clothing,Shirt Laboriosam,116587.74,94
Clothing,Shoes Sed,116532.93,95
Clothing,Notebook Soluta,113605.73,96
Clothing,Laptop Labore,110414.56,97
Clothing,Book Praesentium,108729.02,98
Clothing,Bag Sint,108416.51,99
Clothing,Printer Quo,107458.59,100
Clothing,Mixer Corrupti,106012.04,101
Clothing,Mixer Laboriosam,103543.91,102
Clothing,Watch Consequuntur,101465.22,103
Clothing,Speaker Itaque,101269.52,104
Clothing,Chair Vitae,96075.6,105
Clothing,Phone Quo,93760.95,106
Clothing,Bag Quo,90381.94,107
Clothing,Mixer Explicabo,87884.86,108
Clothing,Shoes Non,71423.29,109
Clothing,Phone Id,66653.23,110
Clothing,Notebook Quas,66190.36,111
Clothing,Shoes Iusto,66075.43,112
Clothing,Chair Numquam,54009.06,113
Clothing,Monitor Repellat,52196.9,114
Clothing,Monitor Vitae,47740.44,115
Clothing,Laptop Quisquam,46591.29,116
Clothing,Bottle Repellat,45556.91,117
Clothing,Printer Placeat,41279.23,118
Clothing,Shoes Dicta,39406.48,119
Clothing,Book Voluptatum,36899.35,120
Clothing,Speaker Consequatur,29106.8,121
Clothing,Fan Dolorum,28329.02,122
Clothing,Phone Quia,22211.19,123
Clothing,Laptop Facere,20845.07,124
Clothing,Bottle Veritatis,15636.46,125
Clothing,Speaker Veritatis,3772.25,126
Clothing,Mouse Delectus,3649.55,127
Clothing,Keyboard Quod,1711.39,128
Electronics,Speaker Adipisci,939038.01,1
Electronics,Shoes Unde,668612.82,2
Electronics,Keyboard Maxime,663561.97,3
Electronics,Watch Aliquid,575893.25,4
Electronics,Bottle Dolorem,562224.71,5
Electronics,Mixer Tempora,534724.67,6
Electronics,Speaker Vitae,524917.26,7
Electronics,Mixer Voluptatum,477724.02,8
Electronics,Shoes Nam,467924.94,9
Electronics,Table Non,441300.93,10
Electronics,Fan Impedit,407016.7,11
Electronics,Bag Illum,387379.5,12
Electronics,Monitor Suscipit,382606.43,13
Electronics,Watch Odio,378818.27,14
Electronics,Headphones Nesciunt,378156.54,15
Electronics,Speaker Cum,372724.58,16
Electronics,Laptop Ullam,371422.68,17
Electronics,Headphones Perferendis,369655.56,18
Electronics,Keyboard Dignissimos,359185.83,19
Electronics,Phone Enim,344974.61,20
Electronics,Monitor Officia,339007.59,21
Electronics,Watch Consectetur,337189.3,22
Electronics,Notebook Eius,335060.33,23
Electronics,Book Officiis,333102.25,24
Electronics,Keyboard Illum,329255.33,25
Electronics,Book Facere,324014.19,26
Electronics,Phone Illo,321791.54,27
Electronics,Shirt Nihil,315472.07,28
Electronics,Notebook In,306460.07,29
Electronics,Bottle Labore,299551.75,30
Electronics,Speaker Iste,298199.71,31
Electronics,Shirt Repellendus,297586.05,32
Electronics,Phone Placeat,292615.55,33
Electronics,Book Soluta,289350.63,34
Electronics,Laptop Nostrum,288260.28,35
Electronics,Camera Sit,281337.23,36
Electronics,Speaker Ratione,277736.73,37
Electronics,Fan Quis,277687.23,38
Electronics,Bottle Quasi,274702.74,39
Electronics,Chair Fugiat,271526.1,40
Electronics,Bottle Tempora,263229.12,41
Electronics,Notebook Quod,262137.52,42
Electronics,Headphones Magnam,261998.3,43
Electronics,Notebook Harum,252540.0,44
Electronics,Printer Itaque,249883.07,45
Electronics,Chair Temporibus,248909.73,46
Electronics,Mouse Placeat,248850.59,47
Electronics,Phone Itaque,247920.77,48
Electronics,Bag Mollitia,241148.14,49
Electronics,Speaker Voluptates,235112.47,50
Electronics,Mouse Totam,230870.48,51
Electronics,Shoes Nostrum,230566.16,52
Electronics,Bottle Sed,229845.56,53
Electronics,Camera Ab,219504.56,54
Electronics,Shirt Delectus,213086.93,55
Electronics,Camera Labore,210896.8,56
Electronics,Bottle Quidem,210475.81,57
Electronics,Bag Accusantium,209538.92,58
Electronics,Bag Eligendi,207105.3,59
Electronics,Watch Quis,205877.83,60
Electronics,Shoes At,203782.31,61
Electronics,Shoes Doloribus,202349.72,62
Electronics,Mixer Animi,202180.48,63
Electronics,Fan Ab,196268.97,64
Electronics,Headphones Tempore,192438.87,65
Electronics,Phone Nisi,190856.99,66
Electronics,Watch In,183765.51,67
Electronics,Speaker Sequi,169615.23,68
Electronics,Mixer Numquam,169152.78,69
Electronics,Laptop Eos,167637.84,70
Electronics,Phone Sed,167478.37,71
Electronics,Mouse Dolorum,167097.63,72
Electronics,Mixer Culpa,165733.73,73
Electronics,Shoes Eligendi,162197.17,74
Electronics,Monitor Nostrum,159316.39,75
Electronics,Printer Fugiat,157986.8,76
Electronics,Phone Consequatur,154326.95,77
Electronics,Mouse Amet,154290.3,78
Electronics,Watch Ad,151582.0,79
Electronics,Book Praesentium,150545.99,80
Electronics,Book Ipsam,148345.2,81
Electronics,Book Adipisci,148178.81,82
Electronics,Phone Reprehenderit,147425.93,83
Electronics,Laptop Sed,146686.67,84
Electronics,Laptop Asperiores,144432.68,85
Electronics,Monitor Explicabo,142817.49,86
Electronics,Book Illum,136134.29,87
Electronics,Camera Tempore,134808.03,88
Electronics,Watch Quos,133642.4,89
Electronics,Speaker Ullam,130702.41,90
Electronics,Watch Mollitia,127583.92,91
Electronics,Mouse Aspernatur,122141.75,92
Electronics,Keyboard Doloribus,121641.18,93
Electronics,Monitor Illo,118628.32,94
Electronics,Keyboard Id,118438.02,95
Electronics,Mouse Neque,116550.12,96
Electronics,Monitor Ab,113157.44,97
Electronics,Phone Rerum,112970.64,98
Electronics,Shoes Porro,110023.09,99
Electronics,Camera Provident,108926.17,100
Electronics,Chair Quisquam,107666.92,101
Electronics,Fan In,104741.36,102
Electronics,Mixer Porro,103441.07,103
Electronics,Speaker Quam,96302.09,104
Electronics,Fan Ipsa,91692.71,105
Electronics,Bag Voluptas,88867.67,106
Electronics,Fan Eveniet,88601.21,107
Electronics,Keyboard Fugit,84922.87,108
Electronics,Mouse Cum,83916.98,109
Electronics,Laptop Quod,81303.31,110
Electronics,Book Ullam,77145.38,111
Electronics,Bag Delectus,72318.84,112
Electronics,Laptop Numquam,64736.6,113
Electronics,Camera Voluptate,64030.49,114
Electronics,Phone Ad,58831.97,115
Electronics,Shoes Eius,58628.2,116
Electronics,Camera Quasi,55232.99,117
Electronics,Mouse Voluptates,52843.97,118
Electronics,Shoes Hic,48093.83,119
Electronics,Monitor Recusandae,43254.87,120
Electronics,Keyboard Libero,34345.64,121
Electronics,Fan Aut,31811.9,122
Electronics,Speaker Eius,21751.2,123
Electronics,Bag Tempore,21429.8,124
Electronics,Bag Ipsum,12284.61,125
Electronics,Table Voluptas,269.41,126
Electronics,Headphones Eos,-30283.39,127
Home,Headphones Incidunt,765811.17,1
Home,Mixer Ipsum,608743.25,2
Home,Laptop Qui,541668.72,3
Home,Watch Molestias,490966.83,4
Home,Camera Molestias,467584.17,5
Home,Shoes Recusandae,441968.61,6
Home,Camera Voluptate,441964.44,7
Home,Table Voluptatum,435249.91,8
Home,Chair Beatae,432462.7,9
Home,Shirt Maiores,431493.06,10
Home,Watch Sequi,420497.29,11
Home,Shirt Ab,405002.51,12
Home,Monitor Dolorem,394367.85,13
Home,Mouse Enim,392845.02,14
Home,Mouse Dolorum,385159.13,15
Home,Notebook Nobis,376002.17,16
Home,Bottle Facere,374503.61,17
Home,Speaker Alias,371881.31,18
Home,Chair Molestias,363785.53,19
Home,Printer Hic,361154.38,20
Home,Bag Corporis,348115.44,21
Home,Bottle Fuga,342153.63,22
Home,Table Fuga,324652.88,23
Home,Headphones Eius,310504.45,24
Home,Shoes Officia,309046.0,25
Home,Notebook Suscipit,308498.1,26
Home,Mixer Maxime,302731.73,27
Home,Table Sunt,301118.83,28
Home,Bottle Nisi,293931.14,29
Home,Mouse Sunt,293464.44,30
Home,Headphones Soluta,292789.22,31
Home,Chair Dolorum,285163.84,32
Home,Bottle Ut,284903.89,33
Home,Phone Exercitationem,274590.39,34
Home,Printer Consequatur,272444.81,35
Home,Shirt Libero,269231.55,36
Home,Shirt Aut,263288.53,37
Home,Book Aspernatur,262765.18,38
Home,Watch Iusto,256364.0,39
Home,Phone Ducimus,254755.59,40
Home,Fan Quo,250219.94,41
Home,Camera Officiis,247842.41,42
Home,Headphones Nostrum,242543.18,43
Home,Book Totam,239141.52,44
Home,Keyboard Enim,236270.34,45
Home,Chair Cupiditate,235984.66,46
Home,Watch Suscipit,235969.53,47
Home,Headphones Maxime,234922.53,48
Home,Shoes Molestiae,226350.21,49
Home,Table Deserunt,226279.58,50
Home,Table Similique,222978.85,51
Home,Chair Quibusdam,222942.43,52
Home,Laptop Alias,222042.18,53
Home,Mixer Ipsum,222037.49,54
Home,Book Nam,218677.23,55
Home,Shirt Tempore,217557.19,56
Home,Speaker Facere,214972.43,57
Home,Shirt Optio,214373.75,58
Home,Notebook Hic,211117.18,59
Home,Shirt Facere,209624.31,60
Home,Headphones Harum,209469.07,61
Home,Bag Quod,207589.42,62
Home,Book Voluptate,207096.25,63
Home,Camera Odio,204968.76,64
Home,Watch Fugiat,202318.39,65
Home,Chair Perferendis,199581.8,66
Home,Shirt Numquam,196183.77,67
Home,Mixer Cupiditate,195782.72,68
Home,Mouse Quas,191772.05,69
Home,Printer Veniam,190834.55,70
Home,Mouse Eius,186848.58,71
Home,Table Totam,183791.15,72
Home,Monitor Et,176068.52,73
Home,Phone Distinctio,175509.7,74
Home,Laptop Suscipit,174954.62,75
Home,Speaker Voluptatibus,173583.76,76
Home,Keyboard Sequi,171738.88,77
Home,Fan Porro,171644.98,78
Home,Book Nisi,170814.62,79
Home,Bottle Molestiae,167670.77,80
Home,Shirt Accusamus,167345.6,81
Home,Bottle Libero,152734.84,82
Home,Speaker Ullam,152098.73,83
Home,Bag Suscipit,148083.43,84
Home,Fan Iste,146501.47,85
Home,Book Occaecati,145145.29,86
Home,Watch Ex,143215.66,87
Home,Bottle Vel,142667.4,88
Home,Bottle Illo,141148.95,89
Home,Printer Reprehenderit,140304.08,90
Home,Mixer Vero,137111.28,91
Home,Bottle Nihil,136788.63,92
Home,Watch Fuga,136617.1,93
Home,Speaker Blanditiis,125419.74,94
Home,Mouse Explicabo,121201.6,95
Home,Phone Nemo,120568.17,96
Home,Headphones Ad,120500.65,97
Home,Headphones Maxime,116413.78,98
Home,Monitor Saepe,113030.32,99
Home,Bottle Totam,109085.85,100
Home,Notebook Enim,109002.7,101
Home,Bottle Necessitatibus,108852.31,102
Home,Shirt Molestias,105498.03,103
Home,Camera Consequatur,103326.15,104
Home,Monitor Hic,103036.72,105
Home,Keyboard Placeat,101605.15,106
Home,Monitor Id,100813.61,107
Home,Laptop Error,98231.15,108
Home,Printer Nobis,96618.35,109
Home,Table Quos,96401.33,110
Home,Camera Fugit,93720.85,111
Home,Headphones Illo,93407.18,112
Home,Book Nam,90527.7,113
Home,Bottle Reprehenderit,89840.33,114
Home,Chair Soluta,83182.68,115
Home,Fan Repellendus,79945.04,116
Home,Headphones Voluptatem,72435.28,117
Home,Book Dicta,71720.01,118
Home,Headphones Dicta,68814.3,119
Home,Mouse Corrupti,66906.08,120
Home,Camera Voluptatum,65583.93,121
Home,Camera Voluptatum,62833.82,122
Home,Headphones Optio,61233.38,123
Home,Printer Ullam,60136.72,124
Home,Bottle Minus,51224.92,125
Home,Notebook Distinctio,48585.87,126
Home,Notebook Quia,44684.6,127
Home,Keyboard Magnam,37240.26,128
Home,Fan Labore,33710.79,129
Home,Fan Atque,33296.05,130
Home,Speaker Culpa,32245.9,131
Home,Book Eaque,28921.62,132
Home,Book Alias,4666.09,133
