region_code,order_date,daily_revenue,running_total
EAST,2026-02-20,326781.36,15986538.53
EAST,2026-02-21,328943.03,16315481.56
EAST,2026-03-01,297467.34,16612948.9
EAST,2026-03-02,121157.04,16734105.93
EAST,2026-03-06,88577.13,16822683.06
EAST,2026-03-07,44571.81,16867254.87
EAST,2026-03-08,237910.89,17105165.76
EAST,2026-03-14,235224.45,17340390.21
EAST,2026-03-15,212782.23,17553172.44
EAST,2026-03-16,347072.49,17900244.93
EAST,2026-03-17,192765.91,18093010.84
EAST,2026-03-18,272024.31,18365035.16
EAST,2026-03-19,135108.48,18500143.64
EAST,2026-03-20,210002.68,18710146.32
EAST,2026-03-28,85233.52,18795379.84
EAST,2026-03-29,302081.3,19097461.14
EAST,2026-03-30,119557.89,19217019.03
EAST,2026-04-08,57318.28,19274337.31
EAST,2026-04-11,297197.03,19571534.33
EAST,2026-04-13,26537.62,19598071.96
EAST,2026-04-14,131844.42,19729916.38
EAST,2026-04-15,72626.15,19802542.53
EAST,2026-04-16,211291.3,20013833.82
EAST,2026-04-18,202451.18,20216285.01
EAST,2026-04-19,22697.86,20238982.86
EAST,2026-04-20,194697.76,20433680.62
EAST,2026-04-22,151773.21,20585453.84
EAST,2026-04-26,253236.23,20838690.06
EAST,2026-04-28,293025.7,21131715.76
EAST,2026-05-02,11405.15,21143120.91
EAST,2026-05-03,161809.75,21304930.66
EAST,2026-05-04,170188.18,21475118.84
EAST,2026-05-07,223834.02,21698952.86
EAST,2026-05-11,5935.22,21704888.08
EAST,2026-05-12,138817.76,21843705.84
EAST,2026-05-13,445758.9,22289464.75
EAST,2026-05-16,29210.82,22318675.57
EAST,2026-05-18,112256.8,22430932.36
EAST,2026-05-20,221353.72,22652286.09
EAST,2026-05-22,218745.71,22871031.79
EAST,2026-05-23,91510.53,22962542.33
EAST,2026-05-26,93136.02,23055678.34
EAST,2026-05-28,158558.9,23214237.25
EAST,2026-05-29,40615.11,23254852.36
EAST,2026-06-05,35662.29,23290514.65
EAST,2026-06-06,22861.41,23313376.06
EAST,2026-06-08,382586.63,23695962.69
EAST,2026-06-09,113915.51,23809878.2
EAST,2026-06-14,215156.06,24025034.26
EAST,2026-06-17,149215.42,24174249.67
EAST,2026-06-18,44721.35,24218971.02
EAST,2026-06-19,25053.51,24244024.53
EAST,2026-06-20,34663.99,24278688.52
EAST,2026-06-21,226059.21,24504747.73
EAST,2026-06-22,-8938.77,24495808.96
EAST,2026-06-26,165055.7,24660864.66
NORTH,2025-06-27,171827.97,171827.97
NORTH,2025-06-28,124872.05,296700.02
NORTH,2025-06-29,81437.68,378137.7
NORTH,2025-07-03,138825.08,516962.78
NORTH,2025-07-07,154112.26,671075.05
NORTH,2025-07-08,3741.57,674816.61
NORTH,2025-07-11,9214.94,684031.55
NORTH,2025-07-12,317168.68,1001200.23
NORTH,2025-07-15,78386.6,1079586.83
NORTH,2025-07-16,87309.54,1166896.37
NORTH,2025-07-17,64897.54,1231793.9
NORTH,2025-07-22,17198.84,1248992.74
NORTH,2025-07-23,48130.31,1297123.05
NORTH,2025-07-26,230244.05,1527367.11
NORTH,2025-07-27,305686.99,1833054.1
NORTH,2025-07-28,203284.54,2036338.63
NORTH,2025-07-29,608.6,2036947.23
NORTH,2025-07-30,105766.92,2142714.15
NORTH,2025-08-03,115713.32,2258427.48
NORTH,2025-08-04,137512.41,2395939.88
NORTH,2025-08-09,42778.87,2438718.75
NORTH,2025-08-10,207221.73,2645940.48
NORTH,2025-08-11,39464.43,2685404.91
NORTH,2025-08-14,205843.96,2891248.87
NORTH,2025-08-16,9659.56,2900908.43
NORTH,2025-08-20,241289.87,3142198.3
NORTH,2025-08-21,227439.9,3369638.2
NORTH,2025-08-23,46605.14,3416243.33
NORTH,2025-08-26,418695.72,3834939.05
NORTH,2025-08-30,275654.62,4110593.67
NORTH,2025-09-01,74912.17,4185505.85
NORTH,2025-09-03,227116.0,4412621.84
NORTH,2025-09-05,250178.25,4662800.09
NORTH,2025-09-07,153086.55,4815886.64
NORTH,2025-09-12,186114.9,5002001.55
NORTH,2025-09-13,81814.49,5083816.04
NORTH,2025-09-14,83978.83,5167794.87
NORTH,2025-09-16,108722.48,5276517.35
NORTH,2025-09-19,149931.41,5426448.76
NORTH,2025-09-21,226038.83,5652487.59
NORTH,2025-09-24,195712.97,5848200.56
NORTH,2025-09-25,69119.0,5917319.56
NORTH,2025-09-26,149986.71,6067306.27
NORTH,2025-09-28,191602.29,6258908.56
NORTH,2025-09-29,87283.44,6346192.0
NORTH,2025-10-01,197947.78,6544139.78
NORTH,2025-10-03,75968.87,6620108.65
NORTH,2025-10-04,380266.76,7000375.41
NORTH,2025-10-05,171031.0,7171406.41
NORTH,2025-10-07,99868.78,7271275.19
NORTH,2025-10-09,23816.66,7295091.85
NORTH,2025-10-14,3409.33,7298501.18
NORTH,2025-10-15,397065.53,7695566.71
NORTH,2025-10-16,353016.83,8048583.54
NORTH,2025-10-19,314326.5,8362910.04
NORTH,2025-10-21,34470.62,8397380.65
NORTH,2025-10-23,262612.48,8659993.13
NORTH,2025-10-25,89683.7,8749676.83
NORTH,2025-10-27,115731.96,8865408.78
NORTH,2025-10-31,103214.47,8968623.25
NORTH,2025-11-01,41899.0,9010522.25
NORTH,2025-11-02,61855.66,9072377.92
NORTH,2025-11-04,9771.81,9082149.72
NORTH,2025-11-07,409354.82,9491504.55
NORTH,2025-11-08,105126.9,9596631.45
NORTH,2025-11-10,24979.4,9621610.85
NORTH,2025-11-11,210404.55,9832015.4
NORTH,2025-11-12,52307.99,9884323.39
NORTH,2025-11-13,100825.53,9985148.92
NORTH,2025-11-14,32760.23,10017909.15
NORTH,2025-11-18,101478.21,10119387.36
NORTH,2025-11-19,223825.29,10343212.65
NORTH,2025-11-23,112743.77,10455956.42
NORTH,2025-11-25,113958.75,10569915.18
NORTH,2025-11-27,76754.18,10646669.36
NORTH,2025-11-29,174391.8,10821061.16
NORTH,2025-12-01,22828.32,10843889.49
NORTH,2025-12-02,384256.6,11228146.09
NORTH,2025-12-03,44114.85,11272260.94
NORTH,2025-12-04,244201.38,11516462.32
NORTH,2025-12-11,101964.8,11618427.12
NORTH,2025-12-14,205336.93,11823764.05
NORTH,2025-12-16,353323.53,12177087.58
NORTH,2025-12-19,11608.69,12188696.27
NORTH,2025-12-21,217706.15,12406402.43
NORTH,2025-12-22,58441.83,12464844.25
NORTH,2025-12-23,60394.14,12525238.39
NORTH,2025-12-24,386.7,12525625.09
NORTH,2025-12-25,648571.98,13174197.07
NORTH,2025-12-26,80564.02,13254761.09
NORTH,2025-12-27,17415.06,13272176.16
NORTH,2025-12-28,114819.3,13386995.45
NORTH,2025-12-31,115579.77,13502575.22
NORTH,2026-01-02,23736.55,13526311.77
NORTH,2026-01-08,412852.1,13939163.87
NORTH,2026-01-13,160620.43,14099784.29
NORTH,2026-01-14,243305.56,14343089.85
NORTH,2026-01-15,57724.07,14400813.92
NORTH,2026-01-16,454276.75,14855090.66
NORTH,2026-01-17,99186.66,14954277.32
NORTH,2026-01-19,587.73,14954865.05
NORTH,2026-01-20,191405.09,15146270.14
NORTH,2026-01-21,282324.95,15428595.09
NORTH,2026-01-23,108489.76,15537084.85
NORTH,2026-01-26,50335.39,15587420.24
NORTH,2026-01-27,130856.81,15718277.05
NORTH,2026-01-29,416818.76,16135095.8
NORTH,2026-01-31,97444.59,16232540.39
NORTH,2026-02-04,97247.33,16329787.72
NORTH,2026-02-09,47639.45,16377427.18
NORTH,2026-02-10,256893.34,16634320.51
NORTH,2026-02-17,123790.03,16758110.54
NORTH,2026-02-18,219743.46,16977854.0
NORTH,2026-02-24,276081.18,17253935.19
NORTH,2026-02-25,25384.53,17279319.72
NORTH,2026-03-06,219323.13,17498642.85
NORTH,2026-03-11,369161.13,17867803.98
NORTH,2026-03-14,191705.24,18059509.21
NORTH,2026-03-15,11612.77,18071121.99
NORTH,2026-03-19,799588.39,18870710.38
NORTH,2026-03-21,124812.94,18995523.32
NORTH,2026-03-23,45066.32,19040589.63
NORTH,2026-03-24,149770.24,19190359.87
NORTH,2026-03-25,350165.79,19540525.67
NORTH,2026-03-28,23088.66,19563614.32
NORTH,2026-03-31,58492.01,19622106.33
NORTH,2026-04-02,201433.91,19823540.24
NORTH,2026-04-06,145513.49,19969053.73
NORTH,2026-04-07,81998.25,20051051.98
NORTH,2026-04-08,24252.18,20075304.16
NORTH,2026-04-13,61001.32,20136305.48
NORTH,2026-04-15,131183.13,20267488.6
NORTH,2026-04-16,381349.17,20648837.77
NORTH,2026-04-21,56812.49,20705650.26
NORTH,2026-04-26,549728.92,21255379.18
NORTH,2026-04-27,311747.14,21567126.32
NORTH,2026-04-28,100018.08,21667144.4
NORTH,2026-04-29,109074.01,21776218.4
NORTH,2026-04-30,184574.7,21960793.1
NORTH,2026-05-04,172128.71,22132921.82
NORTH,2026-05-05,170531.79,22303453.61
NORTH,2026-05-07,21838.24,22325291.85
NORTH,2026-05-09,384217.4,22709509.25
NORTH,2026-05-11,76919.26,22786428.5
NORTH,2026-05-12,80336.49,22866764.99
NORTH,2026-05-14,88985.72,22955750.72
NORTH,2026-05-15,114657.87,23070408.59
NORTH,2026-05-16,283994.16,23354402.76
NORTH,2026-05-17,101887.86,23456290.61
NORTH,2026-05-18,40776.8,23497067.41
NORTH,2026-05-22,31189.67,23528257.08
NORTH,2026-05-23,13764.11,23542021.19
NORTH,2026-05-24,164244.69,23706265.89
NORTH,2026-05-25,237106.6,23943372.49
NORTH,2026-05-26,62341.57,24005714.06
NORTH,2026-05-27,113105.42,24118819.48
NORTH,2026-05-31,40660.46,24159479.94
NORTH,2026-06-02,164806.69,24324286.63
NORTH,2026-06-05,195330.79,24519617.42
NORTH,2026-06-06,63178.9,24582796.31
NORTH,2026-06-07,244981.99,24827778.3
NORTH,2026-06-09,167755.91,24995534.21
NORTH,2026-06-11,8510.97,25004045.19
NORTH,2026-06-12,42577.42,25046622.61
NORTH,2026-06-13,42507.77,25089130.39
NORTH,2026-06-21,73365.43,25162495.82
NORTH,2026-06-23,22191.48,25184687.3
NORTH,2026-06-26,114240.12,25298927.42
NORTH,2026-06-27,65878.96,25364806.38
SOUTH,2025-06-29,-10116.7,-10116.7
SOUTH,2025-06-30,453626.57,443509.88
SOUTH,2025-07-03,355385.99,798895.86
SOUTH,2025-07-04,78165.43,877061.29
SOUTH,2025-07-05,90968.05,968029.34
SOUTH,2025-07-07,210629.11,1178658.45
SOUTH,2025-07-09,358127.26,1536785.71
SOUTH,2025-07-10,101195.55,1637981.26
SOUTH,2025-07-13,166304.06,1804285.32
SOUTH,2025-07-14,368397.88,2172683.2
SOUTH,2025-07-17,242713.48,2415396.68
SOUTH,2025-07-19,127136.57,2542533.25
SOUTH,2025-07-20,140946.04,2683479.29
SOUTH,2025-07-27,39002.88,2722482.17
SOUTH,2025-07-30,49496.63,2771978.79
SOUTH,2025-08-02,2847.45,2774826.25
SOUTH,2025-08-04,49079.33,2823905.57
SOUTH,2025-08-06,45151.55,2869057.12
SOUTH,2025-08-09,12302.82,2881359.94
SOUTH,2025-08-10,91753.73,2973113.68
SOUTH,2025-08-11,168129.76,3141243.43
SOUTH,2025-08-12,2887.72,3144131.16
SOUTH,2025-08-13,95216.82,3239347.97
SOUTH,2025-08-14,267457.51,3506805.49
SOUTH,2025-08-15,62761.87,3569567.35
SOUTH,2025-08-21,30414.57,3599981.92
SOUTH,2025-08-22,43891.98,3643873.9
SOUTH,2025-08-23,157155.12,3801029.02
SOUTH,2025-08-26,250152.78,4051181.8
SOUTH,2025-08-29,183617.62,4234799.42
SOUTH,2025-08-30,188420.7,4423220.12
SOUTH,2025-09-01,290086.29,4713306.41
SOUTH,2025-09-04,17814.76,4731121.17
SOUTH,2025-09-06,114686.74,4845807.91
SOUTH,2025-09-07,100525.88,4946333.79
SOUTH,2025-09-08,258704.97,5205038.76
SOUTH,2025-09-11,121889.36,5326928.13
SOUTH,2025-09-13,211084.08,5538012.21
SOUTH,2025-09-14,174149.84,5712162.04
SOUTH,2025-09-15,53597.27,5765759.31
SOUTH,2025-09-16,135416.58,5901175.9
SOUTH,2025-09-27,477290.31,6378466.2
SOUTH,2025-09-28,543.91,6379010.11
SOUTH,2025-09-29,206733.44,6585743.55
SOUTH,2025-10-01,63186.06,6648929.61
SOUTH,2025-10-04,271648.8,6920578.41
SOUTH,2025-10-05,83748.66,7004327.07
SOUTH,2025-10-07,200669.89,7204996.96
SOUTH,2025-10-09,37428.21,7242425.17
SOUTH,2025-10-11,331740.78,7574165.95
SOUTH,2025-10-14,133674.08,7707840.03
SOUTH,2025-10-15,142438.97,7850278.99
SOUTH,2025-10-17,302068.37,8152347.37
SOUTH,2025-10-18,61101.76,8213449.13
SOUTH,2025-10-19,210348.87,8423798.0
SOUTH,2025-10-20,57096.89,8480894.89
SOUTH,2025-10-22,20818.03,8501712.92
SOUTH,2025-10-23,0.0,8501712.92
SOUTH,2025-10-25,148945.11,8650658.04
SOUTH,2025-10-26,43831.76,8694489.79
SOUTH,2025-11-01,19433.77,8713923.56
SOUTH,2025-11-03,304101.07,9018024.63
SOUTH,2025-11-06,17470.29,9035494.92
SOUTH,2025-11-08,61613.66,9097108.58
SOUTH,2025-11-09,45667.5,9142776.08
SOUTH,2025-11-10,174920.12,9317696.2
SOUTH,2025-11-16,147822.6,9465518.8
SOUTH,2025-11-18,23219.42,9488738.22
SOUTH,2025-11-19,11736.39,9500474.61
SOUTH,2025-11-26,165195.57,9665670.18
SOUTH,2025-11-28,297252.55,9962922.73
SOUTH,2025-12-01,26515.33,9989438.06
SOUTH,2025-12-04,46369.67,10035807.74
SOUTH,2025-12-05,108847.21,10144654.95
SOUTH,2025-12-06,190939.32,10335594.27
SOUTH,2025-12-08,196616.93,10532211.19
SOUTH,2025-12-09,76337.79,10608548.99
SOUTH,2025-12-13,299901.29,10908450.27
SOUTH,2025-12-17,202597.11,11111047.38
SOUTH,2025-12-19,12453.6,11123500.98
SOUTH,2025-12-21,179966.6,11303467.58
SOUTH,2025-12-22,10965.78,11314433.36
SOUTH,2025-12-26,126901.08,11441334.45
SOUTH,2025-12-29,-5822.61,11435511.83
SOUTH,2025-12-30,226058.77,11661570.6
SOUTH,2025-12-31,223576.79,11885147.39
SOUTH,2026-01-02,63416.03,11948563.43
SOUTH,2026-01-04,414252.3,12362815.73
SOUTH,2026-01-05,386537.93,12749353.66
SOUTH,2026-01-06,388816.16,13138169.82
SOUTH,2026-01-08,319582.15,13457751.97
SOUTH,2026-01-10,46720.4,13504472.38
SOUTH,2026-01-15,253604.7,13758077.08
SOUTH,2026-01-16,244190.72,14002267.8
SOUTH,2026-01-17,212243.8,14214511.6
SOUTH,2026-01-19,60988.88,14275500.48
SOUTH,2026-01-21,161375.33,14436875.81
SOUTH,2026-01-22,36183.81,14473059.62
SOUTH,2026-01-24,398168.9,14871228.52
SOUTH,2026-01-25,248670.12,15119898.64
SOUTH,2026-01-26,4998.1,15124896.74
SOUTH,2026-01-29,520544.05,15645440.78
SOUTH,2026-01-30,293431.44,15938872.22
SOUTH,2026-01-31,297260.06,16236132.29
SOUTH,2026-02-05,18533.06,16254665.35
SOUTH,2026-02-08,89893.76,16344559.11
SOUTH,2026-02-10,118402.04,16462961.15
SOUTH,2026-02-14,128577.87,16591539.02
SOUTH,2026-02-17,17737.36,16609276.39
SOUTH,2026-02-21,63011.22,16672287.61
SOUTH,2026-02-22,94667.88,16766955.48
SOUTH,2026-02-23,55026.57,16821982.05
SOUTH,2026-02-27,-2711.35,16819270.7
SOUTH,2026-02-28,116444.15,16935714.85
SOUTH,2026-03-01,77359.19,17013074.04
SOUTH,2026-03-02,172919.2,17185993.24
SOUTH,2026-03-05,22202.97,17208196.21
SOUTH,2026-03-12,80044.44,17288240.65
SOUTH,2026-03-13,154175.76,17442416.4
SOUTH,2026-03-14,115822.09,17558238.5
SOUTH,2026-03-19,892492.69,18450731.19
SOUTH,2026-03-20,112992.94,18563724.13
SOUTH,2026-03-26,67128.35,18630852.48
SOUTH,2026-04-01,95340.05,18726192.53
SOUTH,2026-04-02,96557.4,18822749.94
SOUTH,2026-04-03,18662.02,18841411.96
SOUTH,2026-04-04,72927.98,18914339.93
SOUTH,2026-04-05,241214.54,19155554.47
SOUTH,2026-04-06,221022.07,19376576.54
SOUTH,2026-04-07,28877.78,19405454.32
SOUTH,2026-04-09,117464.53,19522918.85
SOUTH,2026-04-11,229374.28,19752293.13
SOUTH,2026-04-15,109513.53,19861806.67
SOUTH,2026-04-16,125621.09,19987427.76
SOUTH,2026-04-18,54573.57,20042001.32
SOUTH,2026-04-22,26148.39,20068149.71
SOUTH,2026-04-24,629514.4,20697664.11
SOUTH,2026-04-25,317599.27,21015263.38
SOUTH,2026-04-28,54815.18,21070078.56
SOUTH,2026-04-29,35420.6,21105499.16
SOUTH,2026-05-02,184829.08,21290328.24
SOUTH,2026-05-03,43912.86,21334241.11
SOUTH,2026-05-08,112057.14,21446298.25
SOUTH,2026-05-09,228322.84,21674621.09
SOUTH,2026-05-10,146954.18,21821575.27
SOUTH,2026-05-15,148514.46,21970089.73
SOUTH,2026-05-18,93314.84,22063404.57
SOUTH,2026-05-20,258133.92,22321538.5
SOUTH,2026-05-22,90823.65,22412362.15
SOUTH,2026-05-28,243149.78,22655511.94
SOUTH,2026-05-30,323796.03,22979307.96
SOUTH,2026-06-01,221835.44,23201143.4
SOUTH,2026-06-03,298817.79,23499961.19
SOUTH,2026-06-07,87083.16,23587044.35
SOUTH,2026-06-11,147936.0,23734980.35
SOUTH,2026-06-12,68971.66,23803952.01
SOUTH,2026-06-13,273416.03,24077368.04
SOUTH,2026-06-17,415305.21,24492673.25
SOUTH,2026-06-18,137661.81,24630335.06
SOUTH,2026-06-20,54436.09,24684771.15
SOUTH,2026-06-22,10293.31,24695064.46
SOUTH,2026-06-25,41567.79,24736632.25
SOUTH,2026-06-26,51789.83,24788422.08
WEST,2025-06-28,246917.24,246917.24
WEST,2025-07-01,419962.83,666880.07
WEST,2025-07-02,120198.62,787078.68
WEST,2025-07-04,57867.19,844945.87
WEST,2025-07-06,233559.66,1078505.54
WEST,2025-07-07,100991.95,1179497.48
WEST,2025-07-08,89952.87,1269450.35
WEST,2025-07-10,244293.48,1513743.83
WEST,2025-07-11,120382.87,1634126.7
WEST,2025-07-12,30471.26,1664597.96
WEST,2025-07-13,320195.6,1984793.56
WEST,2025-07-14,447440.95,2432234.51
WEST,2025-07-17,10552.04,2442786.56
WEST,2025-07-18,102508.39,2545294.95
WEST,2025-07-20,225400.66,2770695.61
WEST,2025-07-22,240891.38,3011586.99
WEST,2025-07-23,177401.25,3188988.24
WEST,2025-07-24,121151.34,3310139.58
WEST,2025-07-27,254022.44,3564162.02
WEST,2025-07-28,199954.67,3764116.69
WEST,2025-07-30,85941.46,3850058.15
WEST,2025-07-31,218039.54,4068097.69
WEST,2025-08-03,47077.41,4115175.1
WEST,2025-08-04,300300.74,4415475.84
WEST,2025-08-09,204816.83,4620292.67
WEST,2025-08-12,492567.88,5112860.55
WEST,2025-08-13,57858.41,5170718.96
WEST,2025-08-17,162868.99,5333587.95
WEST,2025-08-19,90972.15,5424560.1
WEST,2025-08-22,317941.14,5742501.23
WEST,2025-08-28,223111.26,5965612.49
WEST,2025-08-29,206285.44,6171897.93
WEST,2025-08-30,118763.29,6290661.22
WEST,2025-09-02,88463.11,6379124.32
WEST,2025-09-03,107902.85,6487027.18
WEST,2025-09-04,48810.73,6535837.91
WEST,2025-09-06,8076.38,6543914.29
WEST,2025-09-07,240501.87,6784416.16
WEST,2025-09-08,86692.93,6871109.09
WEST,2025-09-11,193644.74,7064753.83
WEST,2025-09-12,145364.87,7210118.71
WEST,2025-09-13,73761.75,7283880.46
WEST,2025-09-15,138567.96,7422448.42
WEST,2025-09-18,113969.05,7536417.47
WEST,2025-09-21,61497.96,7597915.43
WEST,2025-09-23,153183.08,7751098.51
WEST,2025-09-24,150439.73,7901538.24
WEST,2025-09-27,100867.65,8002405.9
WEST,2025-10-02,5279.38,8007685.27
WEST,2025-10-03,228262.86,8235948.13
WEST,2025-10-07,-11865.21,8224082.92
WEST,2025-10-09,49887.04,8273969.96
WEST,2025-10-14,195679.07,8469649.03
WEST,2025-10-17,89547.22,8559196.25
WEST,2025-10-18,427576.02,8986772.27
WEST,2025-10-19,281764.66,9268536.93
WEST,2025-10-20,26494.24,9295031.17
WEST,2025-10-21,26412.9,9321444.08
WEST,2025-10-22,36236.3,9357680.38
WEST,2025-10-23,334470.12,9692150.5
WEST,2025-10-24,41688.9,9733839.4
WEST,2025-10-25,21957.19,9755796.59
WEST,2025-10-30,192822.35,9948618.94
WEST,2025-10-31,67272.13,10015891.07
WEST,2025-11-01,58110.89,10074001.96
WEST,2025-11-06,265329.68,10339331.64
WEST,2025-11-09,51813.51,10391145.15
WEST,2025-11-12,178693.27,10569838.42
WEST,2025-11-14,25650.52,10595488.95
WEST,2025-11-18,470616.86,11066105.81
WEST,2025-11-20,62133.64,11128239.45
WEST,2025-11-25,351600.92,11479840.37
WEST,2025-11-29,74349.37,11554189.74
WEST,2025-11-30,89391.38,11643581.12
WEST,2025-12-02,106415.24,11749996.36
WEST,2025-12-03,19517.41,11769513.77
WEST,2025-12-04,65755.86,11835269.63
WEST,2025-12-05,76165.11,11911434.74
WEST,2025-12-06,669339.19,12580773.94
WEST,2025-12-09,72541.01,12653314.94
WEST,2025-12-11,740836.87,13394151.81
WEST,2025-12-12,108463.7,13502615.52
WEST,2025-12-16,35064.82,13537680.34
WEST,2025-12-17,107051.65,13644731.98
WEST,2025-12-18,77033.57,13721765.55
WEST,2025-12-19,89112.92,13810878.47
WEST,2025-12-20,40599.89,13851478.36
WEST,2025-12-21,276500.27,14127978.63
WEST,2025-12-22,221237.02,14349215.65
WEST,2025-12-23,412521.45,14761737.1
WEST,2025-12-26,196869.2,14958606.3
WEST,2025-12-30,225718.43,15184324.73
WEST,2025-12-31,-908.89,15183415.84
WEST,2026-01-05,49608.35,15233024.19
WEST,2026-01-06,2561.39,15235585.59
WEST,2026-01-07,234453.74,15470039.33
WEST,2026-01-11,109496.31,15579535.64
WEST,2026-01-12,85884.75,15665420.39
WEST,2026-01-14,75549.9,15740970.29
WEST,2026-01-17,95389.75,15836360.04
WEST,2026-01-18,289126.03,16125486.07
WEST,2026-01-21,115872.73,16241358.8
WEST,2026-01-22,317581.68,16558940.49
WEST,2026-01-28,214830.91,16773771.4
WEST,2026-02-01,94294.64,16868066.04
WEST,2026-02-02,6070.05,16874136.09
WEST,2026-02-03,10133.66,16884269.75
WEST,2026-02-04,2356.74,16886626.5
WEST,2026-02-05,95013.09,16981639.59
WEST,2026-02-06,300882.58,17282522.17
WEST,2026-02-07,121516.7,17404038.87
WEST,2026-02-08,-5108.56,17398930.31
WEST,2026-02-11,98200.66,17497130.98
WEST,2026-02-13,254260.74,17751391.71
WEST,2026-02-14,173615.15,17925006.86
WEST,2026-02-18,1397.18,17926404.03
WEST,2026-02-19,133260.16,18059664.2
WEST,2026-02-22,107365.49,18167029.68
WEST,2026-02-23,301049.17,18468078.85
WEST,2026-02-26,173510.01,18641588.86
WEST,2026-02-27,82271.05,18723859.91
WEST,2026-02-28,63619.75,18787479.66
